n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
0.111111,0.45596,0.27,0.22449,0.6496,0.99
0.111111,0.629091,0.19,0.22449,0.8176,0.98
0.10101,0.515354,0.25,0.204082,0.7072,0.99
0.111111,0.608485,0.23,0.22449,0.8512,0.97
0.0909091,0.451717,0.32,0.183673,0.6864,0.95
0.10101,0.525253,0.24,0.204082,0.746,1
0.10101,0.540606,0.24,0.204082,0.7472,1
0.10101,0.497576,0.24,0.204082,0.7084,1
0.111111,0.389899,0.33,0.22449,0.5448,0.98
0.10101,0.589293,0.21,0.204082,0.8104,1
0.111111,0.460606,0.26,0.204082,0.6696,1
0.10101,0.613131,0.24,0.204082,0.7616,0.98
0.121212,0.495354,0.23,0.244898,0.6904,0.99
0.111111,0.490909,0.25,0.22449,0.6908,1
0.0909091,0.481414,0.24,0.183673,0.6724,0.99
0.121212,0.558586,0.27,0.22449,0.7084,0.99
0.111111,0.445253,0.33,0.22449,0.648,1
0.111111,0.512121,0.28,0.22449,0.7204,1
0.121212,0.536162,0.27,0.244898,0.7996,0.98
0.0909091,0.521414,0.26,0.183673,0.7392,1
0.10101,0.481414,0.22,0.204082,0.6932,1
0.121212,0.354343,0.31,0.244898,0.526,0.95
0.111111,0.486869,0.27,0.22449,0.6908,1
0.121212,0.547879,0.32,0.244898,0.7672,1
0.121212,0.418788,0.29,0.244898,0.5812,0.99
0.10101,0.464646,0.23,0.204082,0.6892,0.99
0.0909091,0.450101,0.32,0.183673,0.6336,1
0.111111,0.578384,0.28,0.22449,0.8148,1
0.111111,0.46404,0.25,0.22449,0.6508,1
0.10101,0.289899,0.34,0.204082,0.4004,0.97
0.111111,0.419798,0.27,0.22449,0.6076,1
0.10101,0.379394,0.26,0.204082,0.5248,0.99
0.111111,0.479596,0.25,0.22449,0.6688,0.97
0.121212,0.515758,0.25,0.244898,0.6772,0.98
0.10101,0.514747,0.3,0.204082,0.6888,0.98
0.10101,0.431717,0.28,0.204082,0.6076,0.99
0.111111,0.482626,0.24,0.22449,0.6924,1
0.10101,0.416768,0.32,0.204082,0.5944,0.99
0.121212,0.402424,0.27,0.244898,0.5956,0.99
0.111111,0.342626,0.35,0.22449,0.4984,0.93
0.111111,0.468283,0.24,0.22449,0.6908,0.96
0.111111,0.506667,0.31,0.22449,0.6868,1
0.0707071,0.451515,0.36,0.142857,0.6112,0.98
0.10101,0.327475,0.32,0.204082,0.4784,1
0.10101,0.517172,0.26,0.204082,0.7504,1
0.121212,0.465051,0.24,0.244898,0.6304,1
0.111111,0.488081,0.31,0.22449,0.67,1
0.121212,0.466263,0.24,0.244898,0.6308,0.99
0.121212,0.510303,0.25,0.244898,0.7112,0.99
0.111111,0.500202,0.29,0.22449,0.6836,0.99
0.10101,0.531515,0.27,0.204082,0.7504,0.99
0.111111,0.371111,0.28,0.22449,0.562,1
0.111111,0.291919,0.36,0.22449,0.416,1
0.121212,0.458182,0.31,0.244898,0.6808,1
0.10101,0.538384,0.24,0.204082,0.756,0.98
0.0909091,0.330909,0.35,0.183673,0.5032,0.98
0.111111,0.402626,0.29,0.22449,0.588,1
0.111111,0.46404,0.27,0.22449,0.6916,1
0.121212,0.459596,0.3,0.244898,0.6204,0.99
0.111111,0.50202,0.29,0.22449,0.6548,1
0.111111,0.602828,0.24,0.22449,0.7472,0.98
0.10101,0.466869,0.27,0.204082,0.6916,1
0.0808081,0.370909,0.35,0.163265,0.5104,0.99
0.0808081,0.462222,0.36,0.163265,0.7012,0.99
0.111111,0.544242,0.27,0.22449,0.6936,0.99
0.111111,0.640808,0.23,0.22449,0.8376,1
0.10101,0.582424,0.23,0.204082,0.8088,0.98
0.0909091,0.441818,0.23,0.183673,0.62,1
0.10101,0.418182,0.29,0.204082,0.5764,0.98
